req_id,source_page,category,requirement,points,current_status,current_evidence,missing_for_final,owner_role,next_action
D1,"p3, p5-p6",submission_deliverable,提交内容包括方案报告、PPT、视频/录屏、测试用例程序代码等；最终以压缩包报送。,submission gate,ready,submission; outputs/submission_index/submission_package_index.md,report_final=True；slides_final=True；video_final=True；submission blocked=0。,C_docs,若 MP4 已生成，则人工播放复核并整理最终压缩包；否则先完成或录制演示视频。
D2,p3,report_content,设计方案与仿真研究报告需覆盖调研、研究内容和技术路线、测试系统/重建算法、典型仿真测试结果。,report gate,ready,docs/solution_report_draft.md; outputs/report_package/report_section_status.csv,report_final=True；blocked/demo sections=0；正式报告文件见 submission/01_report。,C_docs,在视频和最终压缩包中保持与正式报告一致的 Level 1/2 指标和边界表述。
S1,p3,subjective_score,国内外发展调研分析情况。,10,draft_evidence,docs/literature_matrix.md；当前文献条目=25。,最终报告中需要统一参考文献格式并压缩成正式叙述。,C_docs,把 literature matrix 转成正式参考文献表和方法谱系图。
S2,p3,subjective_score,研究思路合理性。,10,evidence_ready_writeup_pending,docs/literature_to_algorithm_traceability.md; docs/solution_report_draft.md; outputs/master_dashboard; outputs/cst_level1_merge_report; outputs/cst_level2_merge_report; outputs/cst_structure_comparison,Level 1/2 证据已到位，简化结构遮挡对照已补充；报告中还需统一 solver-safe、element-library、简化结构对照与 full-wave 边界说明。,A_algorithm + C_docs,把 G2/G3/G4 当前指标写入报告并解释方法迁移边界。
S3,p3,subjective_score,技术路线可行性。,10,model_risk_bounded,docs/phase_01_cst_technical_route_and_division.md; outputs/cst_operator_runbook; outputs/cst_execution_dashboard; outputs/cst_real_level1_projects; outputs/cst_level1_reconstruction_batch; outputs/cst_level1_angular_calibration; outputs/cst_recognition_level2; outputs/cst_structure_comparison,CST-Python 工程生成与 Level 2 full48 已完成；Level 1 角域校准 2 个案例 max NMSE=8.40556336030498e-05、min corr=0.9998782818365388；简化结构对照 48 个样本，cross-domain accuracy=1.0；但 full-wave 近场等效源反演和 full-wave airframe 结构散射仍需边界说明。,A_algorithm + B_CST,把角域校准、近场等效源风险和简化结构遮挡对照写入报告；时间允许时再补 full-wave airframe 对照。
S4,p3,subjective_score,测试方案完整性。,10,screenshots_pending,outputs/cst_level1_workpack; outputs/cst_level2_workpack; outputs/cst_macro_templates; outputs/cst_operator_runbook; outputs/cst_real_level1_projects,Level 1/2 数据证据与简化结构对照已补齐；最终报告仍需 CST 参数截图、结构对照图和测试日志整理。,B_CST + C_docs,补齐 CST 工程截图、执行日志、导出 CSV 和报告中的测试结果。
O1,p4,objective_score,多角度、多极化传感单元快速布设；覆盖 2π 半柱面或半球面；可容纳不小于 12m x 10m x 8m。,10,ready,outputs/cst_templates/sensor_layout_hemisphere_for_cst.csv；surface=2pi_upper_hemisphere；sensor_count=162；outputs/cst_operator_runbook/cst_probe_points_hemisphere_162.csv；outputs/cst_real_level1_projects/projects。,工程证明已具备；最终报告仍需要 CST 截图展示 probe layout、boundary 和 monitor。,B_CST,在 Level 1 required CST 工程中保存 probe layout、boundary、monitor 截图。
O2,p4,objective_score,基于电磁传播与等效原理进行三维场域重建；用典型辐射源远场重建精度验证；尽量减少测量点数。,30,model_risk_bounded,outputs/cst_real_level1_projects; outputs/cst_level1_merge_report; outputs/cst_level1_reconstruction_batch; outputs/cst_level1_angular_calibration; outputs/reconstruction_robustness; outputs/level1_analytic_reference; operator_runbook_probe_points=162,Level 1 required 已完成 strict audit 和 2 个重建；等效源反演最小相关系数=0.3665721711770728；FarfieldPlot-derived 角域校准 max NMSE=8.40556336030498e-05、min corr=0.9998782818365388、max 主瓣误差=0.0 deg。,A_algorithm + B_CST,最终报告中区分角域高一致性和 full-wave 近场等效源模型风险。
O3,p4,objective_score,提取具有载体唯一性和稳定性的空间-频谱辐射特征，区分不同载体及运行状态；典型辐射源辨识精度不低于 85%。,20,ready,outputs/cst_level2_merge_report; outputs/cst_recognition_level2; outputs/cst_recognition_level2_ablation; outputs/cst_level2_workpack; outputs/cst_structure_comparison,Level 2 完整样本=48/48；accuracy=1.0；简化结构对照样本=48，平均遮挡=3.059749694260782 dB，P95 遮挡=6.632975065705098 dB，cross-domain accuracy=1.0；full-wave airframe 结构散射仍是可选增强项。,A_algorithm + B_CST,把混淆矩阵、消融曲线、element-library 假设和简化结构遮挡对照写入报告。
T1,p4-p5,schedule,2026 年 9 月 15 日前通过大赛申报系统提交作品；2026 年 5 月至 9 月上旬开展研发攻关。,schedule gate,human_admin_pending,docs/final_submission_package_plan.md; outputs/master_dashboard,需要队伍在申报系统和邮箱提交前完成人工信息、学校名称、队名、联系人等最终填充。,C_docs,最终压缩包生成后按学校/申报人/作品名称/联系电话命名并提交。
T2,p5-p6,submission_method,作品以压缩包报送至指定邮箱；邮件主题和压缩包命名需包含赛题名称、学校、申报人等信息。,submission gate,human_admin_pending,docs/final_submission_package_plan.md,学校全称、申报人姓名、联系电话、最终作品名称和审核通过报名表尚未填入。,C_docs,提交前由队伍填入真实身份信息并附报名表扫描件。
G0,workspace audit,completion_control,只有所有赛题要求、真实 CST 证据和最终交付物都被证明后，才能判定总目标完成。,internal gate,ready,outputs/completion_audit/completion_audit_summary.json；completion_proven=True。,completion_proven=true 时总目标证据链已闭合；仍需人工播放视频、核对报名信息和最终压缩包命名。,A_algorithm + B_CST + C_docs,按 master dashboard 的 priority 队列推进。
